scenario,method,quantity,horizon,datasets,defined_targets,available,finite_estimates,rmse,bias,covered,coverage,coverage_lower,coverage_upper,median_width,width_available,width_missing,empty_sets,unbounded,diagnostics_passed
linear,unadjusted,itt_y,1,100,100,100,100,0.7044529676639333,-0.03701828591756296,93,0.93,0.8625048526092651,0.9656807389327273,2.609743194399403,100,0,0,0,100
linear,unadjusted,itt_y,2,100,100,100,100,0.7040684438201981,-0.047594152755709794,95,0.95,0.8882495307680808,0.9784563208456319,2.6142465703955047,100,0,0,0,100
linear,unadjusted,itt_y,3,100,100,100,100,0.7598246716935185,-0.05000977434599365,93,0.93,0.8625048526092651,0.9656807389327273,2.664020514930196,100,0,0,0,100
linear,unadjusted,itt_y,4,100,100,100,100,0.7449717130103133,-0.03496364482189084,92,0.92,0.8500189229905127,0.9589065385156194,2.6941082000611143,100,0,0,0,100
linear,unadjusted,itt_d,1,100,100,100,100,0.05820223363411408,-0.0035000000000000447,98,0.98,0.929988209271456,0.9944980324498376,0.25621315809097367,100,0,0,0,100
linear,unadjusted,itt_d,2,100,100,100,100,0.05820223363411408,-0.0035000000000000447,98,0.98,0.929988209271456,0.9944980324498376,0.25621315809097367,100,0,0,0,100
linear,unadjusted,itt_d,3,100,100,100,100,0.05820223363411408,-0.0035000000000000447,98,0.98,0.929988209271456,0.9944980324498376,0.25621315809097367,100,0,0,0,100
linear,unadjusted,itt_d,4,100,100,100,100,0.05820223363411408,-0.0035000000000000447,98,0.98,0.929988209271456,0.9944980324498376,0.25621315809097367,100,0,0,0,100
linear,unadjusted,wald,1,100,100,100,100,1.1468914384361328,-0.1548902514484962,93,0.93,0.8625048526092651,0.9656807389327273,4.348513718425119,100,0,0,0,100
linear,unadjusted,wald,2,100,100,100,100,1.1477811330975682,-0.17256938220975837,95,0.95,0.8882495307680808,0.9784563208456319,4.419404919030384,100,0,0,0,100
linear,unadjusted,wald,3,100,100,100,100,1.2480212422632082,-0.18851591841889775,94,0.94,0.8752318455410406,0.9722138760368118,4.484849237777043,100,0,0,0,100
linear,unadjusted,wald,4,100,100,100,100,1.2334491245412662,-0.15536485297741628,92,0.92,0.8500189229905127,0.9589065385156194,4.555912677549271,100,0,0,0,100
linear,linear_ancova,itt_y,1,100,100,100,100,0.20965534643967634,-0.027298511490851992,97,0.97,0.9154806357094724,0.9897454759759611,0.8832440576650211,100,0,0,0,100
linear,linear_ancova,itt_y,2,100,100,100,100,0.20014492005631385,-0.03720531551910735,98,0.98,0.929988209271456,0.9944980324498376,0.886941558631702,100,0,0,0,100
linear,linear_ancova,itt_y,3,100,100,100,100,0.21796136772128552,-0.03331366104075244,94,0.94,0.8752318455410406,0.9722138760368118,0.8979290550463581,100,0,0,0,100
linear,linear_ancova,itt_y,4,100,100,100,100,0.19805649570351275,-0.011452879229912678,99,0.99,0.9455138038212946,0.9982325679358593,0.8878670815637841,100,0,0,0,100
linear,linear_ancova,itt_d,1,100,100,100,100,0.029642863311820356,-0.001532827487842462,100,1.0,0.9630065017930143,1.0,0.19015792515037086,100,0,0,0,100
linear,linear_ancova,itt_d,2,100,100,100,100,0.029642863311820356,-0.001532827487842462,100,1.0,0.9630065017930143,1.0,0.19015792515037086,100,0,0,0,100
linear,linear_ancova,itt_d,3,100,100,100,100,0.029642863311820356,-0.001532827487842462,100,1.0,0.9630065017930143,1.0,0.19015792515037086,100,0,0,0,100
linear,linear_ancova,itt_d,4,100,100,100,100,0.029642863311820356,-0.001532827487842462,100,1.0,0.9630065017930143,1.0,0.19015792515037086,100,0,0,0,100
linear,linear_ancova,wald,1,100,100,100,100,0.3494403012083844,-0.04802322978685671,97,0.97,0.9154806357094724,0.9897454759759611,1.399987479773046,100,0,0,0,100
linear,linear_ancova,wald,2,100,100,100,100,0.3455478129648782,-0.06380708363893524,97,0.97,0.9154806357094724,0.9897454759759611,1.4112540766774455,100,0,0,0,100
linear,linear_ancova,wald,3,100,100,100,100,0.3555003133019543,-0.06018155071472108,94,0.94,0.8752318455410406,0.9722138760368118,1.4145085755180864,100,0,0,0,100
linear,linear_ancova,wald,4,100,100,100,100,0.33916602058133494,-0.01687960653368859,98,0.98,0.929988209271456,0.9944980324498376,1.3968248959003076,100,0,0,0,100
linear,spline_ancova,itt_y,1,100,100,100,100,0.22204303399556816,-0.018558766457523718,98,0.98,0.929988209271456,0.9944980324498376,0.9306113470558126,100,0,0,0,100
